ID;NOME ORG;Latitude;Longitude
49;00.851.146/0001-40 | ASSOCIAÇÃO COMUNITÁRIA BENEFICENTE E DE MUTIRANTES FABIO CÂNDIDO;-23,4685182;-46,6802604
50;00.880.221/0001-00 | RECANTO CULTURAL, EDUCACIONAL E ESPORTIVO DAS CRIANCAS, JOVENS E IDOSOS;-23,5557714;-46,6395571
51;00.913.014/0001-04 | IGREJA PORTA DA PAZ;-23,5781752;-46,5970229
52;00.924.496/0001-90 | ASSOCIACAO BENEFICENTE CRIANCA ESPERANCA;-23,6817219;-46,7471881
53;00.961.574/0001-26 | INSTITUTO BÚSSOLA DA VIDA;-23,5491248;-46,4332447
54;00.978.146/0001-06 | INSTITUTO AÇÃO SOCIAL PARA TODOS;-23,5547318;-46,4345835
55;00.995.898/0001-85 | ASSOCIACAO DE MORADORES FLOR DO CAMPO;-23,6658647;-46,7481826
56;01.028.029/0001-44 | CENTRO COMUNITÁRIO ASSISTENCIAL DO EMBURA;-23,881256;-46,7336208
57;01.080.256/0001-19 | ASSOCIAÇÃO DE MORADORES COM MUITA GARRA;-23,6778439;-46,7436232
58;01.124.137/0001-10 | ORGANIZACAO SOCIAL RHEMA;-23,4778902;-46,4264857
59;01.135.811/0001-62 | IIGREJA EVANGELICA PENTECOSTAL JESUS CRISTO SALVA;-23,5374106;-46,4677997
60;01.207.939/0001-94 | ADD ASSOCIACAO DESPORTIVA PARA DEFICIENTES;-23,6427602;-46,6427578
61;01.212.634/0001-70 | VIVAVIDA-SOCIEDADE DE INOVAÇÃO E INCLUSÃO;-23,5409095;-46,4408814
62;01.212.674/0001-12 | IINSTITUTO DAS IRMÃS DE SANTA DOROTHEA;-23,7491833;-46,6694222
63;01.237.904/0001-06 | ASSOCIAÇÃO BENEFICENTE CONSTRUIR;-23,5442981;-46,5289823
64;01.238.068/0001-76 | ASSOCIAÇÃO COMUNITARIA E EDUCACIONAL MARIA DE NAZARE;-23,6032215;-46,5107248
65;01.298.716/0001-80 | ASSOCIAÇÃO COMUNIDADE RECOMECAR;-23,6487604;-46,7874496
66;01.346.823/0001-36 | ASSOCIAÇÃO ANJO GABRIEL;-23,4513084;-46,6887069
67;01.362.014/0001-18 | IGREJA EVANGELICA PENTECOSTAL DEUS ETERNO;-23,6105197;-46,4907712
68;01.378.276/0001-70 | CLUBE DE MAES NOSSA SENHORA APARECIDA DO BRASIL;-23,6124942;-46,4527302
69;01.420.396/0004-31 | SERVICO COMUNITARIO DO ITAIM PAULISTA;-23,5110832;-46,394179
70;01.420.396/0005-12 | CEI VENTURA BRANCO;-23,4817292;-46,4712576
71;01.420.396/0008-65 | CEI INOVAÇÃO;-23,5675523;-46,4132357
72;01.420.396/0009-46 | CEI INDIRETA VILA SILVIA;-23,4910515;-46,5016682
73;01.420.396/0014-03 | CEI PRINCÍPIOS;-23,5020101;-46,3821533
74;01.420.396/0017-56 | CEI MVV DE GUAIANASES;-23,5365366;-46,3962029
75;01.429.608/0001-07 | ASSOCIAÇÃO BENEFICENTE UNIÃO DA FÉ;-23,5499382;-46,4861859
76;01.429.614/0001-56 | ASSOCIACAO BENEFICENTE COMUNITARIA AURORA;-23,5323657;-46,4670653
77;01.429.618/0001-34 | ASSOCIACAO G. VITAL;-23,5101142;-46,3833128
78;01.431.671/0001-70 | ASSOCIAÇÃO CANTAREIRA;-23,4607196;-46,6992204
79;01.435.552/0006-08 | NÚCLEO DE PROMOÇÃO SOCIAL VENHA CONOSCO;-23,7188014;-46,68789
80;01.440.073/0001-67 | ASSOCIAÇÃO FUTURO MELHOR;-23,4534078;-46,6713745
81;01.493.594/0001-82 | ASSOCIAÇÃO DE APOIO À EDUCAÇÃO PEQUENO APRENDIZ;-23,5331466;-46,4116971
82;01.493.602/0001-90 | ASSOCIAÇÃO DAS MÃES DO PARQUE SANTA MADALENA E ADJACÊNCIAS;-23,6092586;-46,511132
83;01.501.866/0012-00 | SASF ARICANDUVA - ESPAÇO DA COMUNIDADE I - FUNDAÇÃO COMUNIDADE DA GRAÇA;-23,5713961;-46,5287783
84;01.567.297/0001-34 | IGREJA APOSTOLICA E PROFETICA AGUAS;-23,6433238;-46,7167494
85;01.676.202/0001-10 | LIGA MASTER DE FUTEBOL AMADOR DE SÃO PAULO;-23,6074143;-46,4866563
